UnityTime,NodeJSTime,Attention,Meditation,PoorSignalLevel,Frame,Delta,Theta,LowAlpha,HighAlpha,LowBeta,HighBeta,LowGamma,HighGamma,Time
3:20:31:2031,13:20:31:2031, 0,0,200,-1,610624,805602,75409,736899,267307,508439,242591,566579,0
UnityTime,NodeJSTime,Attention,Meditation,PoorSignalLevel,Frame,Delta,Theta,LowAlpha,HighAlpha,LowBeta,HighBeta,LowGamma,HighGamma,Time
3:44:49:4449,13:44:49:4449, 70,66,26,3671,1126508,258016,189157,150537,68878,148205,83341,71200,146,84
3:44:50:4450,13:44:50:4450, 70,66,26,3697,910254,87775,121577,257991,185906,67970,83152,203754,147,88
3:44:51:4451,13:44:51:4451, 70,66,26,3721,104439,205177,5016,32007,74065,26279,18109,15297,148,84
3:44:52:4452,13:44:52:4452, 70,66,26,3747,198301,146470,125631,144695,210202,143532,94892,184889,149,88
3:44:53:4453,13:44:53:4453, 70,66,26,3771,756453,434905,249971,89692,187370,161268,238997,67367,150,84
3:44:54:4454,13:44:54:4454, 70,66,26,3796,962117,554353,247835,78400,108075,69617,63738,260175,151,84
3:44:56:4456,13:44:56:4456, 70,66,26,3846,434972,555909,88708,350011,140804,92157,119566,86656,153,84
3:44:57:4457,13:44:57:4457, 70,66,26,3871,433489,155623,159151,156395,661772,164461,47150,46672,154,84
3:44:58:4458,13:44:58:4458, 70,66,26,3895,548453,196202,13808,193072,116206,65236,64476,88765,155,8
3:44:59:4459,13:44:59:4459, 70,66,26,3921,683406,266403,235639,36463,230341,86742,60284,135904,156,84
3:45:01:451,13:45:01:451, 70,66,26,3971,1805398,1002278,1508151,421655,435631,1478756,211145,538066,158,84
3:45:02:452,13:45:02:452, 70,66,26,3996,756961,378695,155244,88857,455173,176171,98517,107171,159,84
3:45:03:453,13:45:03:453, 70,66,26,4020,352804,297137,184060,110503,159080,134031,263558,107578,160,8
3:45:04:454,13:45:04:454, 70,66,26,4045,222908,363053,212924,79402,238720,329836,110487,110207,161,8
