UnityTime,NodeJSTime,Attention,Meditation,PoorSignalLevel,Frame,Delta,Theta,LowAlpha,HighAlpha,LowBeta,HighBeta,LowGamma,HighGamma,Time
12:34:57:3457,10:34:57:3457, 14,35,0,1994,190309,31204,31333,3565,2581,839,1082,536,79.76
12:34:58:3458,10:34:58:3458, 20,69,0,2018,3067291,204392,563090,94511,37096,78856,9138,8814,80.72
12:34:59:3459,10:34:59:3459, 14,70,0,2043,150559,141834,47184,38168,26437,6668,3562,5159,81.72
12:35:00:350,10:35:00:350, 17,78,0,2069,634745,74884,31260,20896,13557,3467,2626,5080,82.76
12:35:01:351,10:35:01:351, 29,81,0,2093,527190,100965,119868,42654,9744,7979,1305,4321,83.72
12:35:02:352,10:35:02:352, 16,66,0,2118,1268226,437270,136685,164643,34425,25479,16969,8255,84.72
12:35:03:353,10:35:03:353, 27,69,0,2142,809420,356459,219643,95036,54029,45407,8699,10737,85.68
12:35:05:355,10:35:05:355, 38,67,0,2192,781594,67267,72086,34686,2328,5297,3203,2508,87.68
12:35:06:356,10:35:06:356, 38,78,0,2217,1759512,262074,237278,201555,31953,23491,10717,11363,88.68
12:35:07:357,10:35:07:357, 34,70,0,2243,778599,136764,44508,20286,4633,9813,4834,3284,89.72
12:35:08:358,10:35:08:358, 30,81,0,2266,1906497,304298,192231,167573,45095,28774,9055,14362,90.64
12:35:09:359,10:35:09:359, 30,63,0,2292,1033651,596561,136220,47485,12460,22851,12015,14083,91.68
12:35:09:359,10:35:10:3510, 37,48,0,2316,1201859,107636,22783,25510,8464,7198,4874,4895,92.64
12:35:11:3511,10:35:11:3511, 35,48,0,2342,567257,113624,23018,38262,11629,7355,1221,3279,93.68
12:35:12:3512,10:35:12:3512, 38,50,0,2366,73607,75889,95766,4313,7939,9451,1705,4763,94.64
12:35:14:3514,10:35:14:3514, 48,83,0,2417,861438,190185,450143,121985,30133,54971,15060,11574,96.68
12:35:14:3514,10:35:14:3514, 57,94,0,2441,1071407,54274,65890,12935,3623,12661,4716,4425,97.64
12:35:16:3516,10:35:16:3516, 37,64,0,2467,726326,111431,2198,3139,2603,597,393,915,98.68
12:35:16:3516,10:35:16:3516, 41,51,0,2490,301962,527237,129373,45748,17069,26209,17028,19980,99.6
12:35:18:3518,10:35:18:3518, 48,47,0,2516,1856984,197712,334301,23513,40157,54866,16744,27520,100.64
12:35:18:3518,10:35:18:3518, 48,44,0,2540,900838,35262,12891,20458,3502,5551,1354,2177,101.6
12:35:19:3519,10:35:19:3519, 64,56,0,2566,531467,889490,101656,69993,12683,27155,8113,28223,102.64
12:35:21:3521,10:35:21:3521, 70,48,0,2591,154617,34888,1656,2807,1750,2320,588,1622,103.64
12:35:26:3526,10:35:26:3526, 51,47,0,2740,1895450,1434217,335235,198034,130648,81192,19097,20957,109.6
12:35:27:3527,10:35:27:3527, 43,30,0,2765,225910,563866,17341,13725,12882,8333,3484,4377,110.6
12:35:28:3528,10:35:28:3528, 35,29,0,2789,1479376,694096,120560,74517,52227,31542,27181,14271,111.56
12:35:29:3529,10:35:29:3529, 43,17,0,2815,750573,206834,21718,27073,11119,10721,4043,2811,112.6
12:35:30:3530,10:35:30:3530, 56,27,0,2838,705992,53028,47070,32573,10342,17936,9285,7407,113.52
12:35:31:3531,10:35:31:3531, 67,51,0,2864,1963172,476590,155869,178172,29896,36083,28197,14814,114.56
12:35:32:3532,10:35:32:3532, 75,54,0,2890,1065731,934801,115029,269240,131252,96910,54382,19217,115.6
12:35:34:3534,10:35:34:3534, 78,51,0,2939,1236087,108923,24766,31444,15579,10813,8458,6005,117.56
12:35:35:3535,10:35:35:3535, 81,53,0,2964,1035816,622148,266614,309164,135074,77199,33095,12797,118.56
12:35:36:3536,10:35:36:3536, 84,57,0,2989,687050,975740,616684,29141,74171,137586,17486,13508,119.56
12:35:39:3539,10:35:39:3539, 97,51,0,3064,244820,136222,83418,27556,16720,31173,15017,5087,122.56
12:35:40:3540,10:35:40:3540, 100,37,0,3088,45664,49560,6255,3370,27326,16053,4641,1722,123.52
12:35:41:3541,10:35:41:3541, 100,26,0,3114,1290119,415682,77079,20722,38580,59559,2992,2591,124.56
12:35:43:3543,10:35:43:3543, 93,24,0,3163,722877,1211472,746855,140452,135705,162991,42453,7107,126.52
12:35:44:3544,10:35:44:3544, 87,35,0,3187,562351,45272,6587,9932,6959,8654,5921,728,127.48
12:35:45:3545,10:35:45:3545, 77,26,0,3212,1078766,450905,41275,7629,122709,20848,20887,5053,128.48
12:35:46:3546,10:35:46:3546, 64,26,0,3239,555504,357678,16549,56872,48654,16095,7926,2871,129.56
12:35:47:3547,10:35:47:3547, 61,26,0,3262,2001196,218344,95738,52384,23586,16864,9715,4022,130.48
12:35:48:3548,10:35:48:3548, 50,38,0,3288,59927,29442,19680,18206,5534,3231,1455,805,131.52
12:35:50:3550,10:35:50:3550, 54,54,0,3337,976427,529844,30521,52641,11828,56374,10516,4617,133.48
