UnityTime,NodeJSTime,Attention,Meditation,PoorSignalLevel,Frame,Delta,Theta,LowAlpha,HighAlpha,LowBeta,HighBeta,LowGamma,HighGamma,Time
12:43:05:435,10:43:05:435, 17,47,0,14211,1067803,130304,27053,20821,2336,6097,2308,2874,568.44
12:43:06:436,10:43:06:436, 34,41,0,14235,627455,95800,6693,11247,4367,5293,2048,3841,569.4
12:43:07:437,10:43:07:437, 37,41,0,14261,1266476,165184,32553,14321,14324,12532,3633,1464,570.44
12:43:08:438,10:43:08:438, 50,50,0,14287,802711,59717,10096,4946,2208,3425,897,666,571.48
12:43:09:439,10:43:09:439, 60,57,0,14310,1976647,316875,315203,47031,32046,54993,10877,8789,572.4
12:43:10:4310,10:43:10:4310, 57,67,0,14336,423495,102994,46654,23583,15142,7184,3396,6256,573.44
12:43:11:4311,10:43:11:4311, 53,69,0,14360,555937,115119,15738,24132,8087,6127,1676,4237,574.4
12:43:12:4312,10:43:12:4312, 61,77,0,14386,368998,33787,10985,8198,4739,5562,1259,2322,575.44
12:43:14:4314,10:43:14:4314, 50,34,0,14435,2286314,663044,8019,35641,40550,28080,7210,4277,577.4
12:43:15:4315,10:43:15:4315, 51,24,0,14461,421249,90601,8203,2178,541,3983,1627,3404,578.44
12:43:16:4316,10:43:16:4316, 47,16,0,14484,238173,109179,19843,6280,16308,9655,2385,2023,579.36
12:43:17:4317,10:43:17:4317, 50,30,0,14510,338147,379883,90739,36875,19067,22043,7874,8598,580.4
12:43:18:4318,10:43:18:4318, 50,50,0,14534,267036,547640,224638,55148,18717,32554,15055,6992,581.36
12:43:19:4319,10:43:19:4319, 51,61,0,14560,1537079,338533,125471,45815,20532,24424,5807,8834,582.4
12:43:20:4320,10:43:20:4320, 35,61,0,14585,265047,128800,10537,15097,3721,2227,1528,3466,583.4
12:43:21:4321,10:43:21:4321, 41,63,0,14610,986346,38384,16970,3462,4932,4744,1103,2926,584.4
12:43:22:4322,10:43:22:4322, 38,53,0,14635,925241,76631,6436,4711,2260,2365,1063,3105,585.4
12:43:23:4323,10:43:23:4323, 35,53,0,14659,1035266,528694,188653,84288,46507,23498,12145,5457,586.36
12:43:24:4324,10:43:24:4324, 40,56,0,14685,724275,355952,76575,28681,6413,11507,8966,10980,587.4
12:43:25:4325,10:43:25:4325, 23,40,0,14708,62945,339323,2661,16565,9909,5522,2356,3260,588.32
12:43:26:4326,10:43:26:4326, 29,48,0,14734,174370,47863,15309,7416,8291,3948,1422,1780,589.36
12:43:27:4327,10:43:27:4327, 24,35,0,14758,1342627,476702,38326,13192,3091,8343,9191,5154,590.32
12:43:28:4328,10:43:28:4328, 35,41,0,14784,2677571,276679,135282,57385,52413,29699,18564,6914,591.36
12:43:29:4329,10:43:29:4329, 48,60,0,14809,2128460,43771,20501,4359,3201,4841,853,1950,592.36
12:43:30:4330,10:43:30:4330, 44,57,0,14833,1028611,514448,147314,36053,47407,25416,21402,6784,593.32
12:43:31:4331,10:43:31:4331, 54,77,0,14859,271408,32497,19969,9211,2316,3189,856,2649,594.36
12:43:32:4332,10:43:32:4332, 56,80,0,14882,1959273,207362,168443,42791,13923,29811,2733,3783,595.28
12:43:33:4333,10:43:33:4333, 53,77,0,14908,100664,131453,54351,6545,17622,8922,4084,6947,596.32
12:43:34:4334,10:43:34:4334, 51,75,0,14933,1205623,377747,82146,13184,12612,15215,15408,6002,597.32
12:43:35:4335,10:43:35:4335, 50,64,0,14958,1000539,207808,37637,26845,16539,11432,5196,13223,598.32
12:43:36:4336,10:43:36:4336, 47,51,0,14984,433519,164487,20066,9365,8397,10043,3038,2176,599.36
12:43:37:4337,10:43:37:4337, 54,51,0,15007,877495,222347,65230,55985,33185,36076,5270,10031,600.28
12:43:38:4338,10:43:38:4338, 61,53,0,15033,63506,34146,3586,6123,2738,3023,303,340,601.32
12:43:39:4339,10:43:39:4339, 69,48,0,15057,191219,236524,34506,14513,30812,26194,6571,8407,602.28
12:43:40:4340,10:43:40:4340, 67,56,0,15083,249781,283993,99742,36658,20976,18392,13539,12251,603.32
12:43:41:4341,10:43:41:4341, 66,48,0,15107,598078,530292,75241,25305,19943,54158,6193,15413,604.28
12:43:42:4342,10:43:42:4342, 66,50,0,15132,111925,181359,36263,25109,9687,15194,7896,9096,605.28
12:43:43:4343,10:43:43:4343, 53,53,0,15157,787679,364445,58935,28838,9331,10451,2038,13626,606.28
12:43:44:4344,10:43:44:4344, 51,30,0,15181,562684,85826,156,3338,4181,3210,1505,1525,607.24
12:43:45:4345,10:43:45:4345, 41,43,0,15207,742806,226799,102655,57234,27353,14189,4592,5345,608.28
12:43:46:4346,10:43:46:4346, 43,37,0,15230,1067897,209924,10114,33284,17769,19770,10204,9730,609.2
12:43:47:4347,10:43:47:4347, 48,37,0,15256,839437,191171,15219,31496,5672,9457,4201,11624,610.24
12:43:48:4348,10:43:48:4348, 53,56,0,15281,695424,274468,81639,44352,65921,21658,8048,7780,611.24
12:43:49:4349,10:43:49:4349, 53,48,0,15306,281451,11021,2092,497,1070,514,265,209,612.24
12:43:50:4350,10:43:50:4350, 43,56,0,15331,182794,109847,38317,8920,6392,4251,1815,3794,613.24
12:43:51:4351,10:43:51:4351, 57,60,0,15355,222682,162797,62536,28002,27482,41262,6848,11486,614.2
12:43:52:4352,10:43:52:4352, 63,57,0,15381,154255,200015,53492,15422,32541,25016,5719,6772,615.24
12:43:53:4353,10:43:53:4353, 64,56,0,15405,1781056,211565,33780,10513,10340,12186,4018,7559,616.2
12:43:54:4354,10:43:54:4354, 69,51,0,15430,507482,405501,82552,21341,21679,25458,11234,6691,617.2
12:43:56:4356,10:43:56:4356, 44,38,0,15480,1440545,237114,28894,10761,5046,12995,7499,8399,619.2
12:43:57:4357,10:43:57:4357, 38,30,0,15506,1991595,869068,35017,34117,20720,19786,5040,11452,620.24
12:43:58:4358,10:43:58:4358, 35,29,0,15530,1126725,458093,62758,24548,9551,21397,8032,5299,621.2
12:43:59:4359,10:43:59:4359, 37,26,0,15556,98232,664842,21677,51192,36827,27563,10910,4563,622.24
12:44:01:441,10:44:01:441, 47,37,0,15605,274674,148021,17101,9066,3203,4520,3949,1951,624.2
12:44:02:442,10:44:02:442, 51,47,0,15630,502594,90918,33410,28970,20412,8402,3318,2374,625.2
12:44:03:443,10:44:03:443, 66,57,0,15654,236414,8362,3958,2633,3513,2748,483,240,626.16
12:44:04:444,10:44:04:444, 67,63,0,15680,145404,18116,6864,1425,1352,2472,976,352,627.2
12:44:05:445,10:44:05:445, 70,63,0,15704,193454,159081,16041,10578,9703,7619,2500,2005,628.16
12:44:06:446,10:44:06:446, 70,63,25,15730,790377,142941,13024,10000,7432,6254,2169,1302,629.2
12:44:07:447,10:44:07:447, 70,63,25,15754,774969,34675,1990,7552,2283,831,468,259,630.16
12:44:08:448,10:44:08:448, 64,53,0,15779,740216,151543,9136,21974,10375,5554,1793,8859,631.16
12:44:09:449,10:44:09:449, 43,57,0,15805,954860,267791,136484,85567,24040,11114,5479,10410,632.2
12:44:10:4410,10:44:10:4410, 41,61,0,15828,60598,21236,9115,7100,2193,3056,806,1560,633.12
12:44:11:4411,10:44:11:4411, 29,57,0,15854,1497926,354882,32962,4415,4122,4273,1429,2023,634.16
12:44:12:4412,10:44:12:4412, 26,50,0,15878,1040615,232208,11753,3952,6608,6000,1909,1799,635.12
12:44:13:4413,10:44:13:4413, 29,51,0,15904,1448937,82369,53856,19158,2107,4869,2675,1058,636.16
12:44:14:4414,10:44:14:4414, 24,37,0,15928,998304,505567,38689,31049,25723,26094,8500,5180,637.12
12:44:15:4415,10:44:15:4415, 34,51,0,15953,2031300,438514,262949,46203,35101,22346,7937,9330,638.12
12:44:16:4416,10:44:16:4416, 50,60,0,15979,107612,75398,4134,10320,7875,8503,2544,1261,639.16
12:44:17:4417,10:44:17:4417, 47,48,0,16002,1983051,269987,26999,31514,3921,7937,6657,1030,640.08
12:44:18:4418,10:44:18:4418, 50,53,0,16028,952196,183428,34427,12585,7491,13558,1634,2752,641.12
12:44:19:4419,10:44:19:4419, 47,44,0,16052,415620,58177,1239,13008,2945,1446,787,440,642.08
12:44:20:4420,10:44:20:4420, 34,56,0,16078,706549,33850,10054,17419,2869,1689,453,293,643.12
12:44:21:4421,10:44:21:4421, 29,50,0,16102,249370,138718,5498,7352,5817,2585,697,734,644.08
12:44:22:4422,10:44:22:4422, 43,60,0,16127,119014,27557,26804,6857,10976,13852,1592,903,645.08
12:44:23:4423,10:44:23:4423, 44,54,0,16153,1402475,854450,25250,95213,31815,22152,3569,2680,646.12
12:44:24:4424,10:44:24:4424, 43,50,0,16176,1186926,57741,13444,10573,2955,1932,356,314,647.04
12:44:25:4425,10:44:25:4425, 50,57,0,16203,1452730,114362,15656,22455,14584,5401,2869,1924,648.12
12:44:27:4427,10:44:27:4427, 43,48,0,16252,662653,147822,5408,3108,3347,10697,3056,1148,650.08
12:44:28:4428,10:44:28:4428, 63,47,0,16276,742138,112107,34514,17859,20640,31511,18730,1578,651.04
12:44:30:4430,10:44:30:4430, 64,38,0,16327,203723,31574,6172,5799,1690,1988,1472,490,653.08
12:44:31:4431,10:44:31:4431, 53,44,0,16351,629859,168500,17654,4193,6810,3914,1907,1684,654.04
12:44:32:4432,10:44:32:4432, 40,37,0,16377,246082,141672,18851,3635,16784,8031,1670,1339,655.08
12:44:33:4433,10:44:33:4433, 44,44,0,16401,856214,84111,35958,4681,9591,6489,1550,1003,656.04
12:44:34:4434,10:44:34:4434, 44,44,0,16426,1537234,102771,23253,15277,5385,7027,3233,1177,657.04
12:44:35:4435,10:44:35:4435, 57,51,0,16450,345155,31360,6356,2381,3526,3131,1574,264,658
12:44:36:4436,10:44:36:4436, 60,50,0,16475,866487,16255,706,1453,1768,1084,301,527,659
12:44:37:4437,10:44:37:4437, 64,53,0,16502,1830055,189949,107408,18047,42026,26426,19340,8588,660.08
12:44:38:4438,10:44:38:4438, 56,56,0,16525,2102791,310147,163401,11061,6944,11099,6845,4259,661
12:44:39:4439,10:44:39:4439, 56,66,0,16551,266658,38055,29382,16692,11272,6865,2028,950,662.04
12:44:40:4440,10:44:40:4440, 54,70,0,16574,1247829,33135,5612,1707,2043,1926,858,1028,662.96
12:44:41:4441,10:44:41:4441, 56,66,0,16600,1624367,297459,71129,28110,32313,37052,6870,5976,664
12:44:43:4443,10:44:43:4443, 50,41,0,16650,1598107,534217,55326,64393,46277,26082,5840,3008,666
12:44:44:4444,10:44:44:4444, 50,34,0,16675,82834,307792,1259,27041,22213,16579,5065,2755,667
12:44:45:4445,10:44:45:4445, 47,38,0,16699,758816,44988,4160,23360,8059,5077,954,1329,667.96
12:44:46:4446,10:44:46:4446, 51,34,0,16725,573760,125207,6494,2681,3163,5094,2927,1180,669
12:44:47:4447,10:44:47:4447, 56,37,0,16749,787496,228217,47441,26795,23619,21041,2698,6200,669.96
12:44:48:4448,10:44:48:4448, 56,56,0,16774,259450,111599,34785,92880,12834,14017,9334,2634,670.96
12:44:49:4449,10:44:49:4449, 51,51,0,16800,323699,253470,45580,19381,16634,12507,8053,2379,672
12:44:50:4450,10:44:50:4450, 48,60,0,16824,312349,114013,9290,11813,2266,3212,2374,1456,672.96
12:44:51:4451,10:44:51:4451, 43,61,0,16849,437052,463100,83032,103866,42034,27611,7268,3417,673.96
12:44:52:4452,10:44:52:4452, 27,51,0,16873,941244,632471,99364,101108,11857,11070,25593,3873,674.92
12:44:53:4453,10:44:53:4453, 35,57,0,16899,204782,38298,12933,9188,3084,4119,1107,870,675.96
12:44:55:4455,10:44:55:4455, 66,53,0,16948,684719,108961,12737,21696,19443,36693,11492,3723,677.92
12:44:56:4456,10:44:56:4456, 81,56,0,16974,329100,107314,22106,27587,5361,8501,4840,4361,678.96
12:44:57:4457,10:44:57:4457, 83,53,0,16998,292364,66851,12602,10136,3272,7881,2094,1472,679.92
12:44:58:4458,10:44:58:4458, 81,54,0,17024,466884,159963,37008,8757,52023,15823,2791,3244,680.96
12:44:59:4459,10:44:59:4459, 70,56,0,17047,757387,76847,19130,3967,4535,8932,2467,2251,681.88
12:45:00:450,10:45:00:450, 70,60,0,17073,193502,27071,8294,15701,5676,2743,1693,1372,682.92
12:45:01:451,10:45:01:451, 66,63,0,17098,2411511,340579,127057,30894,9254,32538,4182,5523,683.92
12:45:02:452,10:45:02:452, 56,60,0,17122,996833,90383,5188,9178,5700,3216,1593,1144,684.88
12:45:03:453,10:45:03:453, 70,56,0,17148,583077,75208,10756,10686,15180,32728,6053,5967,685.92
12:45:04:454,10:45:04:454, 75,51,0,17172,860017,79344,26550,8419,2968,7713,3039,2667,686.88
12:45:05:455,10:45:05:455, 80,51,0,17198,2200872,140141,59064,6499,9223,23597,3764,4323,687.92
12:45:06:456,10:45:06:456, 87,60,0,17222,49835,11933,4408,461,699,970,139,190,688.88
12:45:07:457,10:45:07:457, 67,61,0,17248,516880,311278,47086,16764,11262,19005,14644,3978,689.92
12:45:08:458,10:45:08:458, 63,60,0,17271,773689,143629,59441,8096,29234,8323,3215,2820,690.84
12:45:09:459,10:45:09:459, 50,44,0,17297,532549,606289,32309,12670,8276,20373,5922,4071,691.88
12:45:10:4510,10:45:10:4510, 44,43,0,17322,750681,181613,35163,24333,23469,8973,2537,3276,692.88
12:45:11:4511,10:45:11:4511, 34,38,0,17346,682126,139537,11408,5504,2258,2397,1680,979,693.84
12:45:12:4512,10:45:12:4512, 37,37,0,17372,368583,170014,27233,28683,11450,13823,4832,11290,694.88
12:45:13:4513,10:45:13:4513, 38,53,0,17396,76521,65179,14326,20272,5390,3889,2768,2690,695.84
12:45:14:4514,10:45:14:4514, 35,47,0,17422,322718,102434,6572,7227,2469,3081,1728,3197,696.88
12:45:15:4515,10:45:15:4515, 40,48,0,17446,101508,131861,16681,7418,3628,3773,1404,1536,697.84
12:45:16:4516,10:45:16:4516, 41,56,0,17471,332038,58103,61082,4232,8614,10149,4576,9365,698.84
12:45:17:4517,10:45:17:4517, 53,54,0,17497,758550,35066,14630,1425,6921,6714,1944,2816,699.88
12:45:18:4518,10:45:18:4518, 63,67,0,17520,468543,142050,87744,25724,25811,16271,5412,11986,700.8
12:45:19:4519,10:45:19:4519, 64,66,0,17546,803173,521509,40371,34243,17164,17477,4567,10503,701.84
12:45:20:4520,10:45:20:4520, 61,60,0,17570,58870,21172,3362,5532,2153,1665,819,2285,702.8
12:45:21:4521,10:45:21:4521, 48,63,0,17596,1342738,267289,87256,70966,26164,14176,15600,18409,703.84
12:45:22:4522,10:45:22:4522, 44,60,0,17620,1183416,148345,21767,58254,7698,11057,4612,10587,704.8
12:45:23:4523,10:45:23:4523, 38,54,0,17645,902055,657854,17780,27699,36566,10190,3722,7592,705.8
12:45:24:4524,10:45:24:4524, 27,41,0,17671,710248,110251,4510,3703,3618,2787,2519,1915,706.84
12:45:25:4525,10:45:25:4525, 41,38,0,17695,424808,150920,33070,42840,19164,27158,6972,6890,707.8
12:45:26:4526,10:45:26:4526, 41,40,0,17720,92775,40927,15302,11077,1200,3185,1749,1752,708.8
12:45:27:4527,10:45:27:4527, 50,53,0,17745,2572741,421983,64742,84609,63301,21632,13226,22635,709.8
12:45:28:4528,10:45:28:4528, 54,54,0,17770,346783,81683,2674,4828,2904,3211,2212,1009,710.8
12:45:29:4529,10:45:29:4529, 63,51,0,17794,172190,46065,6300,14761,10830,20524,5543,7331,711.76
12:45:30:4530,10:45:30:4530, 78,44,0,17819,1593291,86727,18190,20795,20443,25945,20678,6953,712.76
12:45:31:4531,10:45:31:4531, 78,43,0,17845,1058609,118556,28173,7373,18726,5903,5927,3435,713.8
12:45:32:4532,10:45:32:4532, 83,53,0,17868,254984,194535,34724,23292,28293,16205,13041,8891,714.72
12:45:33:4533,10:45:33:4533, 67,48,0,17894,382201,118070,13862,8735,2733,8351,1176,1912,715.76
12:45:34:4534,10:45:34:4534, 51,54,0,17918,158025,262867,122061,11847,14507,13518,3686,7186,716.72
12:45:35:4535,10:45:35:4535, 51,43,0,17944,696829,363379,10793,17329,24563,14089,7247,6886,717.76
12:45:39:4539,10:45:39:4539, 47,40,0,18042,1487410,188510,15513,58407,9521,22390,7267,7331,721.68
12:45:40:4540,10:45:40:4540, 41,27,0,18068,584480,208067,9784,1750,5942,4720,2351,1586,722.72
12:45:42:4542,10:45:42:4542, 60,41,0,18118,519048,97178,10212,12607,5029,5366,2872,1367,724.72
12:45:43:4543,10:45:43:4543, 54,37,0,18144,181432,21628,2812,1466,1971,1169,1159,229,725.76
12:45:44:4544,10:45:44:4544, 60,50,0,18167,1762561,126453,29766,6547,4136,5698,2400,1523,726.68
12:45:45:4545,10:45:45:4545, 44,37,0,18193,250726,28272,1322,782,1825,912,458,379,727.72
12:45:46:4546,10:45:46:4546, 41,24,0,18217,497665,22508,1543,203,4233,773,442,171,728.68
12:45:47:4547,10:45:47:4547, 38,21,0,18243,788492,91238,6947,4357,3928,3555,2576,599,729.72
12:45:49:4549,10:45:49:4549, 47,38,0,18292,1449708,1334574,121589,98109,36875,80687,9142,8324,731.68
12:45:50:4550,10:45:50:4550, 51,51,0,18318,54252,65086,9870,14678,5986,5078,1022,514,732.72
12:45:51:4551,10:45:51:4551, 44,53,0,18342,440682,437137,23034,41082,19001,8850,3415,3005,733.68
12:45:52:4552,10:45:52:4552, 47,37,0,18368,1503709,81749,4992,4663,4357,5611,1414,508,734.72
12:45:53:4553,10:45:53:4553, 48,48,0,18391,119861,42609,32493,6509,16649,5561,2119,2049,735.64
12:45:54:4554,10:45:54:4554, 47,44,0,18417,2891098,417362,78422,24611,10116,24079,11653,4113,736.68
12:45:55:4555,10:45:55:4555, 69,50,0,18441,96267,57313,9911,5542,10051,13209,11234,4417,737.64
12:45:56:4556,10:45:56:4556, 61,60,0,18466,463953,307988,90131,19428,12822,10766,10060,3373,738.64
12:45:57:4557,10:45:57:4557, 64,67,0,18492,78580,8769,16968,3494,1514,2941,850,563,739.68
12:45:57:4557,10:45:57:4557, 66,77,0,18515,953283,111552,51582,54076,35096,11649,8953,3568,740.6
12:45:59:4559,10:45:59:4559, 57,77,0,18542,893819,307633,63231,24701,27474,29411,12973,2616,741.68
12:46:00:460,10:46:01:461, 50,61,0,18591,52024,55109,37891,1145,5852,2489,2816,523,743.64
12:46:01:461,10:46:02:462, 48,56,0,18616,430712,283657,70778,36608,18011,14501,11450,4913,744.64
12:46:02:462,10:46:02:462, 41,56,0,18640,699131,233710,16508,53473,5885,12917,9039,3974,745.6
12:46:04:464,10:46:04:464, 44,64,0,18666,1617891,1253030,341645,116475,74167,110328,41855,14064,746.64
12:46:04:464,10:46:04:464, 60,61,0,18690,855504,136685,12018,57428,18062,24970,13566,2114,747.6
12:46:06:466,10:46:06:466, 74,57,0,18739,194978,113463,30534,4625,7396,11036,2804,503,749.56
12:46:07:467,10:46:07:467, 78,57,0,18765,2755148,1845240,670872,221652,485994,266332,91078,31986,750.6
12:46:08:468,10:46:08:468, 80,50,0,18790,1937147,2934385,263337,244359,123135,498651,272147,193517,751.6
12:46:09:469,10:46:09:469, 87,56,0,18815,620200,221045,126340,54376,17708,58823,21105,7080,752.6
12:46:10:4610,10:46:10:4610, 88,70,0,18840,53892,5379,10628,8247,7479,1863,2151,695,753.6
12:46:11:4611,10:46:11:4611, 88,61,0,18864,109934,63986,5684,2073,3290,7587,8666,766,754.56
12:46:12:4612,10:46:12:4612, 81,56,0,18890,1782127,630464,27084,41712,80494,56341,40073,14157,755.6
12:46:13:4613,10:46:13:4613, 69,48,0,18914,1902409,1026001,120215,117125,42598,60426,26422,12709,756.56
12:46:14:4614,10:46:14:4614, 70,27,0,18939,577390,163220,8297,15000,29394,15914,7233,1808,757.56
12:46:15:4615,10:46:15:4615, 70,35,0,18964,2242407,936655,248574,30543,178845,141256,54544,5383,758.56
12:46:16:4616,10:46:16:4616, 70,44,0,18989,153731,28571,4651,6470,2328,3010,1292,830,759.56
12:46:18:4618,10:46:18:4618, 63,53,0,19038,1897929,173027,120152,3469,9713,15444,13480,3827,761.52
12:46:19:4619,10:46:19:4619, 74,50,0,19064,96433,9603,1122,1487,3090,3243,1383,251,762.56
12:46:20:4620,10:46:20:4620, 80,43,0,19087,1512683,1260101,54878,146412,114265,205428,76346,15251,763.48
12:46:23:4623,10:46:23:4623, 75,48,0,19163,1382302,1193051,46946,75816,29801,65184,40527,6223,766.52
12:46:24:4624,10:46:24:4624, 70,50,0,19189,710624,18531,1690,1649,3472,2382,1271,590,767.56
12:46:25:4625,10:46:25:4625, 61,44,0,19212,1400499,74478,21774,7484,6079,5308,3045,1089,768.48
12:46:26:4626,10:46:26:4626, 60,34,0,19238,1176569,408672,21851,16435,21648,17008,4714,1786,769.52
12:46:27:4627,10:46:27:4627, 61,54,0,19262,1308305,72106,85580,22617,10164,10806,8013,1808,770.48
12:46:28:4628,10:46:28:4628, 51,50,0,19288,1074856,187054,7775,11258,23885,8523,3328,1584,771.52
12:46:29:4629,10:46:29:4629, 56,50,0,19313,381051,627860,73399,209823,109378,71219,25828,13226,772.52
12:46:30:4630,10:46:30:4630, 67,60,0,19337,127408,14853,3231,2531,2744,2357,2007,515,773.48
12:46:32:4632,10:46:32:4632, 74,63,0,19386,1479806,79109,30767,11401,12013,9382,3426,1119,775.44
12:46:33:4633,10:46:33:4633, 66,57,0,19412,1637973,324323,56343,6522,9797,15479,8893,4892,776.48
12:46:35:4635,10:46:35:4635, 67,60,0,19462,231485,32180,39588,5633,6623,7515,1228,1975,778.48
12:46:36:4636,10:46:36:4636, 57,53,0,19487,649528,76916,7995,8132,5633,3215,1572,675,779.48
12:46:37:4637,10:46:37:4637, 63,61,0,19490,862293,97140,52431,5722,13382,10304,2437,632,779.6
12:46:38:4638,10:46:38:4638, 60,63,0,19490,837910,152364,17554,12528,22078,9854,3420,3331,779.6
12:46:39:4639,10:46:39:4639, 63,57,0,19490,1796048,114318,64476,33079,24934,26306,16223,3030,779.6
12:46:40:4640,10:46:40:4640, 83,67,0,19490,660879,30482,22444,12518,11684,16195,3030,1340,779.6
12:46:41:4641,10:46:41:4641, 83,60,0,19490,145269,43349,1955,7076,1209,3084,943,426,779.6
12:46:42:4642,10:46:42:4642, 97,70,0,19490,986161,24461,27364,6561,12449,12311,5151,1311,779.6
12:46:43:4643,10:46:43:4643, 97,70,26,19490,197854,368548,102097,24608,8671,15547,16258,57697,779.6
12:46:44:4644,10:46:44:4644, 97,70,26,19490,930438,343843,49809,42606,221596,94490,98163,48671,779.6
12:46:45:4645,10:46:45:4645, 97,70,26,19490,292323,104529,34940,109351,36546,38796,34626,20905,779.6
12:46:46:4646,10:46:46:4646, 97,70,26,19490,795558,417380,229569,263283,20547,51301,10979,20552,779.6
12:46:47:4647,10:46:47:4647, 97,70,26,19490,739579,450485,95459,33257,73190,39446,38574,68210,779.6
12:46:48:4648,10:46:48:4648, 97,70,26,19490,355139,404416,191699,53615,74219,167187,53473,60920,779.6
12:46:49:4649,10:46:49:4649, 97,70,26,19490,676470,560411,77397,350277,62046,32886,56621,88373,779.6
12:46:50:4650,10:46:50:4650, 97,70,26,19490,214074,128325,296524,56940,47072,69522,27798,50446,779.6
12:46:51:4651,10:46:51:4651, 97,70,26,19490,1504668,296709,352745,80069,317569,36839,83696,85053,779.6
12:46:52:4652,10:46:52:4652, 97,70,26,19490,613999,175278,121610,162686,123682,250472,64902,71118,779.6
12:46:53:4653,10:46:53:4653, 97,70,51,19490,1205885,561979,179236,327891,146966,123426,363099,280594,779.6
12:46:54:4654,10:46:54:4654, 97,70,51,19490,641748,76563,41418,89881,65641,99229,46007,74548,779.6
12:46:55:4655,10:46:55:4655, 97,70,26,19490,1300004,843368,122159,486282,137546,330856,207848,295558,779.6
12:46:56:4656,10:46:56:4656, 84,78,0,19490,1308738,171981,168155,13250,10949,12369,3546,7844,779.6
12:46:57:4657,10:46:57:4657, 84,78,51,19490,198941,58225,69796,56266,8700,10518,9350,7704,779.6
